                Year,         dMdt(Gt/yr),           sd(Gt/yr),              dM(Gt),              sd(Gt),              data_0,              data_1,              data_2,              data_3,           data_sd_0,           data_sd_1,           data_sd_2,           data_sd_3
         1992.000000,          -21.600000,           17.000000,           -1.800000,            1.416667,         1992.000000,          -21.600000,                 nan,                 nan,         1992.000000,           17.000000,                 nan,                 nan
         1992.083333,          -18.199979,           17.000000,           -3.316665,            2.833333,         1992.083333,          -18.199979,                 nan,                 nan,         1992.083333,           17.000000,                 nan,                 nan
         1992.166667,          -13.000021,           17.000000,           -4.400000,            4.250000,         1992.166667,          -13.000021,                 nan,                 nan,         1992.166667,           17.000000,                 nan,                 nan
         1992.250000,          -17.900000,           17.000000,           -5.891667,            5.666667,         1992.250000,          -17.900000,                 nan,                 nan,         1992.250000,           17.000000,                 nan,                 nan
         1992.333333,           -6.500002,           17.000000,           -6.433333,            7.083333,         1992.333333,           -6.500002,                 nan,                 nan,         1992.333333,           17.000000,                 nan,                 nan
         1992.416667,           -6.899998,           17.000000,           -7.008333,            8.500000,         1992.416667,           -6.899998,                 nan,                 nan,         1992.416667,           17.000000,                 nan,                 nan
         1992.500000,           -2.400000,           17.000000,           -7.208333,            9.916667,         1992.500000,           -2.400000,                 nan,                 nan,         1992.500000,           17.000000,                 nan,                 nan
         1992.583333,           -5.299972,           17.000000,           -7.649998,           11.333333,         1992.583333,           -5.299972,                 nan,                 nan,         1992.583333,           17.000000,                 nan,                 nan
         1992.666667,            1.699972,           17.000000,           -7.508333,           12.750000,         1992.666667,            1.699972,                 nan,                 nan,         1992.666667,           17.000000,                 nan,                 nan
         1992.750000,            4.000000,           17.000000,           -7.175000,           14.166667,         1992.750000,            4.000000,                 nan,                 nan,         1992.750000,           17.000000,                 nan,                 nan
         1992.833333,            2.200023,           17.000000,           -6.991665,           15.583333,         1992.833333,            2.200023,                 nan,                 nan,         1992.833333,           17.000000,                 nan,                 nan
         1992.916667,            7.899977,           17.000000,           -6.333333,           17.000000,         1992.916667,            7.899977,                 nan,                 nan,         1992.916667,           17.000000,                 nan,                 nan
