                Year,         dMdt(Gt/yr),           sd(Gt/yr),              dM(Gt),              sd(Gt),              data_0,              data_1,              data_2,              data_3,              data_4,           data_sd_0,           data_sd_1,           data_sd_2,           data_sd_3,           data_sd_4
         1992.000000,           19.600000,           76.000000,            1.633333,            6.333333,         1992.000000,           19.600000,                 nan,                 nan,                 nan,         1992.000000,           76.000000,                 nan,                 nan,                 nan
         1992.083333,           56.200000,           76.000000,            6.316667,           12.666667,         1992.083333,           56.200000,                 nan,                 nan,                 nan,         1992.083333,           76.000000,                 nan,                 nan,                 nan
         1992.166667,           56.200000,           76.000000,           11.000000,           19.000000,         1992.166667,           56.200000,                 nan,                 nan,                 nan,         1992.166667,           76.000000,                 nan,                 nan,                 nan
         1992.250000,           47.100000,           76.000000,           14.925000,           25.333333,         1992.250000,           47.100000,                 nan,                 nan,                 nan,         1992.250000,           76.000000,                 nan,                 nan,                 nan
         1992.333333,           97.299919,           76.000000,           23.033327,           31.666667,         1992.333333,           97.299919,                 nan,                 nan,                 nan,         1992.333333,           76.000000,                 nan,                 nan,                 nan
         1992.416667,           77.100081,           76.000000,           29.458333,           38.000000,         1992.416667,           77.100081,                 nan,                 nan,                 nan,         1992.416667,           76.000000,                 nan,                 nan,                 nan
         1992.500000,           83.500000,           76.000000,           36.416667,           44.333333,         1992.500000,           83.500000,                 nan,                 nan,                 nan,         1992.500000,           76.000000,                 nan,                 nan,                 nan
         1992.583333,          104.500088,           76.000000,           45.125007,           50.666667,         1992.583333,          104.500088,                 nan,                 nan,                 nan,         1992.583333,           76.000000,                 nan,                 nan,                 nan
         1992.666667,          126.599912,           76.000000,           55.675000,           57.000000,         1992.666667,          126.599912,                 nan,                 nan,                 nan,         1992.666667,           76.000000,                 nan,                 nan,                 nan
         1992.750000,          106.800000,           76.000000,           64.575000,           63.333333,         1992.750000,          106.800000,                 nan,                 nan,                 nan,         1992.750000,           76.000000,                 nan,                 nan,                 nan
         1992.833333,           62.099990,           76.000000,           69.749999,           69.666667,         1992.833333,           62.099990,                 nan,                 nan,                 nan,         1992.833333,           76.000000,                 nan,                 nan,                 nan
         1992.916667,           59.500010,           76.000000,           74.708333,           76.000000,         1992.916667,           59.500010,                 nan,                 nan,                 nan,         1992.916667,           76.000000,                 nan,                 nan,                 nan
         1993.000000,           56.600000,           70.935459,           79.425000,           81.911288,         1993.000000,           56.600000,                 nan,                 nan,                 nan,         1993.000000,           76.000000,                 nan,                 nan,           65.870917
         1993.083333,           58.999778,           71.165162,           84.341648,           87.841718,         1993.083333,           58.999778,                 nan,                 nan,                 nan,         1993.083333,           76.000000,                 nan,                 nan,           66.330324
         1993.166667,            3.500222,           71.394865,           84.633333,           93.791290,         1993.166667,            3.500222,                 nan,                 nan,                 nan,         1993.166667,           76.000000,                 nan,                 nan,           66.789731
         1993.250000,           -7.600000,           71.074633,           84.000000,           99.714177,         1993.250000,           -7.600000,                 nan,                 nan,                 nan,         1993.250000,           76.000000,                 nan,                 nan,           66.149266
         1993.333333,          -15.800152,           70.540537,           82.683321,          105.592555,         1993.333333,          -15.800152,                 nan,                 nan,                 nan,         1993.333333,           76.000000,                 nan,                 nan,           65.081073
         1993.416667,          -53.899848,           70.364904,           78.191667,          111.456297,         1993.416667,          -53.899848,                 nan,                 nan,                 nan,         1993.416667,           76.000000,                 nan,                 nan,           64.729808
