                Year,         dMdt(Gt/yr),           sd(Gt/yr),              dM(Gt),              sd(Gt),              data_0,              data_1,              data_2,              data_3,              data_4,           data_sd_0,           data_sd_1,           data_sd_2,           data_sd_3,           data_sd_4
         1992.000000,           54.900000,           38.000000,            4.575000,            3.166667,         1992.000000,           54.900000,                 nan,                 nan,                 nan,         1992.000000,           38.000000,                 nan,                 nan,                 nan
         1992.083333,           46.800032,           38.000000,            8.475003,            6.333333,         1992.083333,           46.800032,                 nan,                 nan,                 nan,         1992.083333,           38.000000,                 nan,                 nan,                 nan
         1992.166667,           54.899968,           38.000000,           13.050000,            9.500000,         1992.166667,           54.899968,                 nan,                 nan,                 nan,         1992.166667,           38.000000,                 nan,                 nan,                 nan
         1992.250000,           53.200000,           38.000000,           17.483333,           12.666667,         1992.250000,           53.200000,                 nan,                 nan,                 nan,         1992.250000,           38.000000,                 nan,                 nan,                 nan
         1992.333333,           44.900009,           38.000000,           21.225001,           15.833333,         1992.333333,           44.900009,                 nan,                 nan,                 nan,         1992.333333,           38.000000,                 nan,                 nan,                 nan
         1992.416667,           47.099991,           42.693477,           25.150000,           19.391123,         1992.416667,           47.099991,                 nan,                 nan,                 nan,         1992.416667,           38.000000,                 nan,                 nan,           47.386953
         1992.500000,           76.400000,           42.579507,           31.516667,           22.939415,         1992.500000,           76.400000,                 nan,                 nan,                 nan,         1992.500000,           38.000000,                 nan,                 nan,           47.159014
         1992.583333,          105.099949,           42.443829,           40.274996,           26.476401,         1992.583333,          105.099949,                 nan,                 nan,                 nan,         1992.583333,           38.000000,                 nan,                 nan,           46.887657
         1992.666667,           92.300051,           42.308150,           47.966667,           30.002080,         1992.666667,           92.300051,                 nan,                 nan,                 nan,         1992.666667,           38.000000,                 nan,                 nan,           46.616300
         1992.750000,           90.500000,           42.172472,           55.508333,           33.516453,         1992.750000,           90.500000,                 nan,                 nan,                 nan,         1992.750000,           38.000000,                 nan,                 nan,           46.344944
         1992.833333,           53.100018,           42.036794,           59.933335,           37.019519,         1992.833333,           53.100018,                 nan,                 nan,                 nan,         1992.833333,           38.000000,                 nan,                 nan,           46.073587
         1992.916667,           57.699982,           41.901115,           64.741667,           40.511279,         1992.916667,           57.699982,                 nan,                 nan,                 nan,         1992.916667,           38.000000,                 nan,                 nan,           45.802231
         1993.000000,           41.900000,           41.765437,           68.233333,           43.991732,         1993.000000,           41.900000,                 nan,                 nan,                 nan,         1993.000000,           38.000000,                 nan,                 nan,           45.530874
         1993.083333,           13.900057,           40.854040,           69.391671,           47.396235,         1993.083333,           13.900057,                 nan,                 nan,                 nan,         1993.083333,           38.000000,                 nan,                 nan,           43.708079
         1993.166667,           28.199943,           39.942642,           71.741667,           50.724788,         1993.166667,           28.199943,                 nan,                 nan,                 nan,         1993.166667,           38.000000,                 nan,                 nan,           41.885284
         1993.250000,           30.400000,           40.071825,           74.275000,           54.064107,         1993.250000,           30.400000,                 nan,                 nan,                 nan,         1993.250000,           38.000000,                 nan,                 nan,           42.143650
         1993.333333,          -20.800160,           40.605678,           72.541653,           57.447914,         1993.333333,          -20.800160,                 nan,                 nan,                 nan,         1993.333333,           38.000000,                 nan,                 nan,           43.211357
         1993.416667,          -60.799840,           40.835186,           67.475000,           60.850846,         1993.416667,          -60.799840,                 nan,                 nan,                 nan,         1993.416667,           38.000000,                 nan,                 nan,           43.670372
         1993.500000,           47.825920,           40.417959,           71.460493,           64.219009,         1993.500000,          -75.400000,                 nan,                 nan,          171.051840,         1993.500000,           38.000000,                 nan,                 nan,           42.835919
         1993.583333,           35.260061,           40.038888,           74.398832,           67.555583,         1993.583333,         -100.299947,                 nan,                 nan,          170.820068,         1993.583333,           38.000000,                 nan,                 nan,           42.077777
         1993.666667,           39.012861,           40.575558,           77.649903,           70.936880,         1993.666667,          -87.000053,                 nan,                 nan,          165.025776,         1993.666667,           38.000000,                 nan,                 nan,           43.151116
         1993.750000,           40.165742,           41.112227,           80.997049,           74.362899,         1993.750000,          -78.900000,                 nan,                 nan,          159.231484,         1993.750000,           38.000000,                 nan,                 nan,           44.224455
         1993.833333,           46.814894,           41.287508,           84.898290,           77.803524,         1993.833333,          -57.699976,                 nan,                 nan,          151.329763,         1993.833333,           38.000000,                 nan,                 nan,           44.575016
         1993.916667,           45.581257,           41.348666,           88.696728,           81.249247,         1993.916667,          -51.600024,                 nan,                 nan,          142.762539,         1993.916667,           38.000000,                 nan,                 nan,           44.697332
         1994.000000,           24.938788,           41.435112,           90.774960,           84.702173,         1994.000000,          -79.200000,                 nan,                 nan,          129.077576,         1994.000000,           38.000000,                 nan,                 nan,           44.870224
         1994.083333,           -4.975824,           41.548953,           90.360308,           88.164585,         1994.083333,         -119.800043,                 nan,                 nan,          109.848395,         1994.083333,           38.000000,                 nan,                 nan,           45.097906
         1994.166667,          -19.990371,           41.662794,           88.694444,           91.636485,         1994.166667,         -130.599957,                 nan,                 nan,           90.619215,         1994.166667,           38.000000,                 nan,                 nan,           45.325588
         1994.250000,          -33.554982,           41.776635,           85.898195,           95.117871,         1994.250000,         -138.500000,                 nan,                 nan,           71.390035,         1994.250000,           38.000000,                 nan,                 nan,           45.553270
