column headers 1
,,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt/yr,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt,Gt
1,1992,400,60,500,26,0,65,1992,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
2,1992.083333,400,60,500,26,0,65,1992.08,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
3,1992.166667,400,60,500,26,0,65,1992.17,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
4,1992.25,400,60,500,26,0,65,1992.25,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
5,1992.333333,400,60,500,26,0,65,1992.33,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
6,1992.416667,400,60,500,26,0,65,1992.42,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
7,1992.5,400,60,500,26,0,65,1992.5,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
8,1992.583333,400,60,500,26,0,65,1992.58,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
9,1992.666667,400,60,500,26,0,65,1992.67,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
10,1992.75,400,60,500,26,0,65,1992.75,600,23,1000,62,100,15,600,30,900,44,150,7,60,38,20,76,-10,17,75,90,5,10,10,5,0,25,10,20,0,5,0,-7.5,20,40,20,50,10
